geoid,state,st,county,population,violent,property,murder,rape,robbery,assault,burglary,larceny,vehicle,arson,male,female,asian,black,hawaiian,aboriginal,white,other,multiple,income
16079,Idaho,ID,Shoshone,10470,238.7774594078319,2110.792741165234,19.10219675262655,28.653295128939828,9.551098376313275,181.47086914995225,105.06208213944603,152.8175740210124,133.71537726838585,0,0.503247373,0.496752627,0.004775549,0.003533906,0,0.008882521,0.959025788,0.001814709,0.021967526,23951.38911
33017,New Hampshire,NH,Strafford,102195,0.9785214540828807,26.42007926023778,0.0,0.0,0.0,0.9785214540828807,5.871128724497285,20.548950535740495,0.0,0,0.480317041,0.519682959,0.026077597,0.007397622,0,0.001115514,0.942140026,0.004921963,0.018347277,29181.90707
16073,Idaho,ID,Owyhee,8602,11.625203441060219,162.75284817484305,0.0,34.87561032318066,0.0,81.37642408742153,430.1325273192281,651.0113926993722,127.8772378516624,0,0.518251569,0.481748431,0.001976285,0,0,0.031504301,0.910602186,0.021971635,0.033945594,21953.19426
53001,Washington,WA,Adams,13017,130.5984481831451,2189.444572482139,7.682261657832066,23.046784973496198,7.682261657832066,92.18713989398479,92.18713989398479,1029.423062149497,238.15011139279403,0,0.501498041,0.498501959,0.009756472,0.000998694,0.002842437,0.002688792,0.70699854,0.251824537,0.024890528,25129.02689
16071,Idaho,ID,Oneida,3206,31.191515907673114,779.7878976918279,0.0,0.0,0.0,31.191515907673114,155.95757953836556,499.06425452276983,124.76606363069246,0,0.51996257,0.48003743,0,0,0,0.003431067,0.96007486,0.004678727,0.031815346,26871.09919
16077,Idaho,ID,Power,5582,17.914725904693658,501.6123253314224,0.0,0.0,17.914725904693658,0.0,125.4030813328556,340.3797921891795,35.829451809387315,0,0.513256897,0.486743103,0.000358295,0.001433178,0,0.033142243,0.860444285,0.093156575,0.011465425,24750.85614
16075,Idaho,ID,Payette,17033,287.67686256091116,1444.25526918335,5.870956378794106,11.741912757588212,0.0,270.06399342452886,452.0636411671461,410.9669465155874,52.83860740914695,0,0.503845476,0.496154524,0.003933541,0.002583221,0.000528386,0.00804321,0.933716902,0.019961252,0.031233488,23403.75236
4027,Arizona,AZ,Yuma,153342,442.8010590705743,2963.3107693912953,5.217096424984675,34.56326381552347,54.127375409216,348.89332342085015,907.1226408942103,1795.9854443009742,260.2026841961107,0,0.509938569,0.490061431,0.012781886,0.022296566,0.001323838,0.012305826,0.781579737,0.150389326,0.019322821,22268.73108
4025,Arizona,AZ,Yavapai,179963,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.485527581,0.514472419,0.008996294,0.006173491,7.22,0.016208887,0.928340826,0.022132327,0.018075938,23540.53085
48093,Texas,TX,Comanche,10829,221.6271123834149,2382.4914581217104,0.0,9.23446301597562,0.0,46.1723150798781,286.26835349524424,1754.547973035368,9.23446301597562,0,0.491550466,0.508449534,0.000831102,0.005078955,0,0.002955028,0.960291809,0.018007203,0.012835904,27724.34722
4023,Arizona,AZ,Santa Cruz,35058,22.81932797079126,667.4653431456444,0.0,2.8524159963489075,5.704831992697815,14.262079981744538,270.9795196531462,51.34348793428033,88.42489588681613,0,0.461977295,0.538022705,0.009641166,0.004906156,0.000770152,0.002766844,0.77776827,0.194078384,0.010069028,23878.84859
4021,Arizona,AZ,Pinal,300152,99.61619446147286,856.8991710866494,2.332151709800368,16.991391028545536,5.99696153948666,74.29569018364029,215.2242863615768,59.30328633492364,72.62986753378289,0,0.522488606,0.477511394,0.017424505,0.045023855,0.00261201,0.049464938,0.809306618,0.055678456,0.020489619,30562.8225
31177,Nebraska,NE,Washington,15875,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.492598425,0.507401575,0.000503937,0.007685039,0.000566929,0.001574803,0.978897638,0.002771654,0.008,35038.09052
19159,Iowa,IA,Ringgold,3977,100.57832537088258,628.6145335680161,0.0,0.0,0.0,100.57832537088258,352.024138798089,276.59039476992706,0.0,0,0.473472467,0.526527533,0.00779482,0.001005783,0,0.006286145,0.981644456,0.000251446,0.00301735,25940.44129
39109,Ohio,OH,Miami,81578,20.838951678148522,74.77506190394469,2.4516413738998257,11.032386182549217,1.2258206869499129,6.129103434749565,273.3580131898306,424.1339576846699,50.25864816494643,0,0.487128883,0.512871117,0.011387874,0.021758317,0.000196131,0.001605825,0.953627203,0.001348403,0.010076246,30535.27984
19155,Iowa,IA,Pottawattamie,73361,115.865378061913,628.3992857240223,1.3631220948460354,14.994343043306388,4.089366284538106,9.541854663922248,229.00451193413394,310.79183762489606,88.6029361649923,0,0.48520331,0.51479669,0.006379411,0.011750112,6.82,0.00391216,0.953912842,0.011695588,0.01228173,30398.76419
39105,Ohio,OH,Meigs,18910,121.62876784769963,1512.4272871496562,5.288207297726071,21.152829190904285,5.288207297726071,89.8995240613432,63.45848757271285,888.4188260179799,84.61131676361714,0,0.489476467,0.510523533,0.001745108,0.011158117,0,0.002326811,0.977419355,0.000158646,0.007191962,24542.44204
19157,Iowa,IA,Poweshiek,15274,72.01780803980621,209.50635066125443,6.547073458164201,0.0,0.0,6.547073458164201,58.92366112347781,117.84732224695561,32.735367290821,0,0.472567762,0.527432238,0.015451093,0.012570381,0.001898651,0.001636768,0.954759722,0.007398193,0.006285191,25185.18299
39107,Ohio,OH,Mercer,31642,53.7260602996018,363.4409961443651,0.0,18.962138929271223,0.0,34.76392137033057,50.56570381138992,287.5924404272802,25.28285190569496,0,0.497440111,0.502559889,0.002623096,0.004803742,0.003286771,0.000821693,0.980152961,0.002243853,0.006067884,30233.53097
19151,Iowa,IA,Pocahontas,5834,119.98628728145354,531.3678436750085,0.0,34.28179636612958,0.0,85.70449091532396,154.26808364758313,377.0997600274254,0.0,0,0.495714775,0.504285225,0.000685636,0.011484402,0.001199863,0.000514227,0.975145698,0.004113816,0.006856359,27649.3327
39101,Ohio,OH,Marion,53863,77.97560477507751,5079.553682490764,5.56968605536268,76.11904275662329,89.11497688580288,74.26248073816906,1607.78270798136,3373.3731875313297,98.39778697807401,0,0.537697492,0.462302508,0.005959564,0.064775449,3.71,0.002320703,0.907227596,0.008057479,0.011622078,26922.1696
19153,Iowa,IA,Polk,343863,25.00996036212096,20.938571465961736,0.29081349258280187,5.525456359073235,1.4540674629140093,17.739623047550914,51.76480167973873,12.795793673643283,24.428333376955358,0,0.484884969,0.515115031,0.038474625,0.055365073,0.000596168,0.002079316,0.873830566,0.015721377,0.013932874,34692.17542
39103,Ohio,OH,Medina,136982,17.520550145274562,334.35049860565624,0.0,2.1900687681593203,8.030252149917507,7.300229227197734,32.12100859967003,249.6678395701625,0.0,0,0.487815917,0.512184083,0.010775138,0.011651166,6.57,0.001744755,0.964900498,0.002708385,0.008154356,34437.10293
